"Time","reducirimagen-755894457-22b8b","reducirimagen-755894457-22l4p","reducirimagen-755894457-2mcqr","reducirimagen-755894457-2rnfz","reducirimagen-755894457-44z8b","reducirimagen-755894457-48746","reducirimagen-755894457-49272","reducirimagen-755894457-4phxb","reducirimagen-755894457-4sflv","reducirimagen-755894457-4tdct","reducirimagen-755894457-4v77p","reducirimagen-755894457-4wbdm","reducirimagen-755894457-4wl9c","reducirimagen-755894457-4z5zg","reducirimagen-755894457-54z9n","reducirimagen-755894457-5bkht","reducirimagen-755894457-5hxl2","reducirimagen-755894457-5l898","reducirimagen-755894457-5vd9b","reducirimagen-755894457-62h7j","reducirimagen-755894457-649pt","reducirimagen-755894457-6748j","reducirimagen-755894457-6nwlz","reducirimagen-755894457-6rl2z","reducirimagen-755894457-767cn","reducirimagen-755894457-792tb","reducirimagen-755894457-7946m","reducirimagen-755894457-79vz2","reducirimagen-755894457-7ff68","reducirimagen-755894457-7h5m6","reducirimagen-755894457-7hkpx","reducirimagen-755894457-8c74r","reducirimagen-755894457-8hth4","reducirimagen-755894457-8sm9r","reducirimagen-755894457-8xnmn","reducirimagen-755894457-9dfsn","reducirimagen-755894457-9dmls","reducirimagen-755894457-9lnz9","reducirimagen-755894457-b26tq","reducirimagen-755894457-b7pw5","reducirimagen-755894457-c9v2m","reducirimagen-755894457-cnhmn","reducirimagen-755894457-cqffh","reducirimagen-755894457-cvn7b","reducirimagen-755894457-czrmh","reducirimagen-755894457-czxms","reducirimagen-755894457-dxprv","reducirimagen-755894457-f4j6n","reducirimagen-755894457-fd7qh","reducirimagen-755894457-fgkf2","reducirimagen-755894457-fjhz5","reducirimagen-755894457-fl9gc","reducirimagen-755894457-flktn","reducirimagen-755894457-flnmw","reducirimagen-755894457-flvxg","reducirimagen-755894457-fmqq6","reducirimagen-755894457-fqlfq","reducirimagen-755894457-ftrqg","reducirimagen-755894457-ftx9d","reducirimagen-755894457-fx99t","reducirimagen-755894457-fzgvn","reducirimagen-755894457-gdcx8","reducirimagen-755894457-gdm8k","reducirimagen-755894457-gpvnc","reducirimagen-755894457-gqpfd","reducirimagen-755894457-h4qk2","reducirimagen-755894457-h595r","reducirimagen-755894457-hcf62","reducirimagen-755894457-hctdp","reducirimagen-755894457-hgxdd","reducirimagen-755894457-hp9qb","reducirimagen-755894457-hrpt7","reducirimagen-755894457-j449d","reducirimagen-755894457-j68hx","reducirimagen-755894457-j6djd","reducirimagen-755894457-jc8r7","reducirimagen-755894457-jg8ch","reducirimagen-755894457-jgxtp","reducirimagen-755894457-jzf8x","reducirimagen-755894457-jzwgw","reducirimagen-755894457-k8bvs","reducirimagen-755894457-k9v7l","reducirimagen-755894457-kd57s","reducirimagen-755894457-kd5q9","reducirimagen-755894457-kfwhk","reducirimagen-755894457-l6mmx","reducirimagen-755894457-l7mvr","reducirimagen-755894457-lffd9","reducirimagen-755894457-lgjh6","reducirimagen-755894457-lj54z","reducirimagen-755894457-lkff9","reducirimagen-755894457-lkz6t","reducirimagen-755894457-lndwn","reducirimagen-755894457-lsqxg","reducirimagen-755894457-lzfdj","reducirimagen-755894457-m2wpw","reducirimagen-755894457-m8wx6","reducirimagen-755894457-mbh6z","reducirimagen-755894457-mbkwv","reducirimagen-755894457-mcrtx","reducirimagen-755894457-mdpnc","reducirimagen-755894457-mdqr4","reducirimagen-755894457-mlvc5","reducirimagen-755894457-mm96d","reducirimagen-755894457-mpfst","reducirimagen-755894457-mt98r","reducirimagen-755894457-n5wjb","reducirimagen-755894457-n9s4k","reducirimagen-755894457-n9vzx","reducirimagen-755894457-nc5dc","reducirimagen-755894457-nsbm7","reducirimagen-755894457-nx8s6","reducirimagen-755894457-p98s9","reducirimagen-755894457-pdj2k","reducirimagen-755894457-pgdvx","reducirimagen-755894457-phb9n","reducirimagen-755894457-phf2w","reducirimagen-755894457-pptw4","reducirimagen-755894457-q522b","reducirimagen-755894457-q52dx","reducirimagen-755894457-q5zbz","reducirimagen-755894457-q694x","reducirimagen-755894457-qjv6d","reducirimagen-755894457-qvtfs","reducirimagen-755894457-r88dz","reducirimagen-755894457-r8ld4","reducirimagen-755894457-rdh4g","reducirimagen-755894457-rmp8v","reducirimagen-755894457-rwwqt","reducirimagen-755894457-s2gj9","reducirimagen-755894457-s876g","reducirimagen-755894457-s9fn8","reducirimagen-755894457-s9wm9","reducirimagen-755894457-sprd5","reducirimagen-755894457-sqpd9","reducirimagen-755894457-t46mf","reducirimagen-755894457-t68sp","reducirimagen-755894457-tbtjz","reducirimagen-755894457-tdv8w","reducirimagen-755894457-th9t6","reducirimagen-755894457-tnz2k","reducirimagen-755894457-v592r","reducirimagen-755894457-v6gnn","reducirimagen-755894457-vc2v2","reducirimagen-755894457-vgg48","reducirimagen-755894457-vgx2s","reducirimagen-755894457-vktn8","reducirimagen-755894457-vmjbd","reducirimagen-755894457-vrzbt","reducirimagen-755894457-vt2lx","reducirimagen-755894457-vtsqc","reducirimagen-755894457-vz2lk","reducirimagen-755894457-w8nf8","reducirimagen-755894457-w9bqp","reducirimagen-755894457-w9vgc","reducirimagen-755894457-wcsmj","reducirimagen-755894457-wfp6n","reducirimagen-755894457-wg6ph","reducirimagen-755894457-wgtft","reducirimagen-755894457-wnq2g","reducirimagen-755894457-wp9kt","reducirimagen-755894457-x5dzn","reducirimagen-755894457-x77c2","reducirimagen-755894457-x9264","reducirimagen-755894457-xdhjv","reducirimagen-755894457-xllqr","reducirimagen-755894457-xnn7j","reducirimagen-755894457-xqkj7","reducirimagen-755894457-xscpm","reducirimagen-755894457-z4kpn","reducirimagen-755894457-zbcl5","reducirimagen-755894457-zdl48","reducirimagen-755894457-zlkqz","reducirimagen-755894457-zn74j"
2025-01-29 23:28:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:29:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:30:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:31:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:32:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:33:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:34:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,1.05,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:35:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,0.937,,,,,1.06,,,0.931,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.880,,,,,0.650,,,0.920,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:36:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00133,,,0.0141,,,,,,,,,,,,,,,,,,,,,0.000786,,,,,0.00129,,,0.00128,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:37:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:38:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459,,,,0.891,,,,,,,,,,,,,,,,0.501,,,,,,,,,,,,
2025-01-29 23:39:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402,,,,0.461,,,,,,,,,,,,,,,,0.371,,,,,,,,,,0.633,,
2025-01-29 23:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331,,,,0.288,,,,,,,,,,,,,,,,0.341,,,,,,,,,,,,
2025-01-29 23:40:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00109,,,,0.00130,,,,,,,,,,,,,,,,0.00133,,,,,,,0.000995,,,0.0157,,
2025-01-29 23:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:41:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:42:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,0.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:43:30,,,,,,,,,,,,,0.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.946,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972,,,,,,,,,,,,0.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666,,,
2025-01-29 23:44:30,,,,,,,,,,,,,0.0753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00115,,,,,,,,,,,,0.000663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00131,,,
2025-01-29 23:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:45:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:46:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:47:00,,,,,,,,,,,,,,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311,,,,,,,,,,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:47:30,,,,,,,,,,,,,,0.258,,,,0.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,,,,,,,,,,0.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:48:00,,,,,,,,,,,,,,0.230,,,,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,,,,,,,,,0.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:48:30,,,,,,,,,,,,,,0.00127,,,,0.00122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00131,,,,,,,,,,0.00115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:50:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:51:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:52:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00707,,,,,,,,,,,,,,,,,,,,,0.00130,,,,,0.00114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:53:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:54:30,,,,,,,,,,,,,,,,,,,,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:55:00,,,,,,,,,,,,,,,,,,,,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:55:30,,,,,,,,,,,,,,,,,,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:56:00,,,,,,,,,,,,,,,,,,,,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:56:30,,,,,,,,,,,,,,,,,,,,0.00127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00133,,,,,,,,,,0.00141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:57:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:58:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29 23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
